選挙区名,都道府県,比例代表ブロック
愛媛県第2区,愛媛県,四国
愛媛県第3区,愛媛県,四国
高知県第1区,高知県,四国
福岡県第1区,福岡県,九州
福岡県第2区,福岡県,九州
福岡県第3区,福岡県,九州
福岡県第4区,福岡県,九州
福岡県第5区,福岡県,九州
福岡県第6区,福岡県,九州
福岡県第7区,福岡県,九州
福岡県第8区,福岡県,九州
福岡県第9区,福岡県,九州
福岡県第10区,福岡県,九州
福岡県第11区,福岡県,九州
佐賀県第1区,佐賀県,九州
佐賀県第2区,佐賀県,九州
長崎県第1区,長崎県,九州
長崎県第2区,長崎県,九州
長崎県第3区,長崎県,九州
長崎県第4区,長崎県,九州
熊本県第1区,熊本県,九州
熊本県第2区,熊本県,九州
熊本県第3区,熊本県,九州
熊本県第4区,熊本県,九州
熊本県第5区,熊本県,九州
大分県第1区,大分県,九州
大分県第2区,大分県,九州
大分県第3区,大分県,九州
宮崎県第1区,宮崎県,九州
宮崎県第2区,宮崎県,九州
鹿児島県第1区,鹿児島県,九州
鹿児島県第2区,鹿児島県,九州
鹿児島県第3区,鹿児島県,九州
鹿児島県第4区,鹿児島県,九州
沖縄県第1区,沖縄県,沖縄
沖縄県第2区,沖縄県,沖縄
沖縄県第3区,沖縄県,沖縄
沖縄県第4区,沖縄県,沖縄
